tot_sub_vol,solution,baseline,Pre-solver memory, calculation_memory, total_memory,Frequencies,time_spent
2,D,Serial,21732,1832,4856,28420, 1 frequency, 0 s
2,I,Serial,21860,1600,2400,25860, 1 frequency, 0 s
2,H,Serial,21832,1588,2352,25772, 1 frequency, 0 s
16,D,Serial,21800,1816,6588,30204, 1 frequency, 0 s
16,I,Serial,21880,1656,2484,26020, 1 frequency, 0 s
16,H,Serial,21896,1756,2368,26020, 1 frequency, 0 s
64,D,Serial,21804,2488,15044,39336, 1 frequency, 0 s
64,I,Serial,21864,2476,5980,30320, 1 frequency, 1 s
64,H,Serial,21804,2476,2224,28728, 1 frequency, 7 s
272,D,Serial,21864,20724,73292,115880, 1 frequency, 0 s
272,I,Serial,21856,20720,17484,60060, 1 frequency, 1 s
272,H,Serial,21868,20656,0,42524, 1 frequency, 645 s
560,D,Serial,21788,84384,232740,338912, 1 frequency, 0 s
560,I,Serial,21884,84264,56576,162724, 1 frequency, 13 s
1104,D,Serial,21884,324840,650260,996984, 1 frequency, 2 s
1104,I,Serial,21788,324920,205416,552124, 1 frequency, 103 s
1824,D,Serial,21880,884880,1594960,2501720, 1 frequency, 9 s
2944,D,Serial,21876,2303496,4034932,6360304, 1 frequency, 34 s
4352,D,Serial,21684,5032416,8636044,13690144, 1 frequency, 103 s
6224,D,Serial,21788,10291340,17477736,27790864, 1 frequency, 288 s
8448,D,Serial,21732,18958980,32033564,51014276, 1 frequency, 705 s
11232,D,Serial,21904,33512224,56447324,89981452, 1 frequency, 1635 s
14416,D,Serial,21856,55204328,92846452,148072636, 1 frequency, 3413 s
